text,food_name,opinion,,,Source,Link
ปูอบวุ้นเส้น (500฿) -- มีเฉพาะปูไซส์นี้ในวันที่ไปค่ะ ตอนพนักงานยกมาเสิร์ฟ ก็แอบกรี๊ดกร๊าดกับตัวเองเบาๆ ว่าน่ากินมากๆๆๆ วุ้นเส้นสีอ่อนๆ แต่รสชาติกลมกล่อมกำลังดีมากๆ ไม่ต้องราดน้ำจิ้มอะไรเพิ่มเลยค่ะ ปูนี่ก็สมราคามากๆ ตัวใหญ่ ก้ามใหญ่ เนื้อแน่น สด หวาน อร่อยค่ะ อร่อยมากๆ,ปูอบวุ้นเส้น,pos,,,อบอร่อย,https://www.wongnai.com/restaurants/obaroi-tit?_st=cD0zO2I9MzQ3NTthZD1mYWxzZTt0PTE1MjMyNDE1NzA2MTA7aT04MjdkNmE5ZC1hZmExLTRhYTgtOWFjOS0yM2NjMGVmNzU0Yjc7d3JlZj1zcjs%3D
หอยเชลล์เผาอบเนย (140฿) -- เป็นเมนูโปรดประจำตัวค่ะ ร้านไหนมีต้องขอสั่ง ของร้านนี้ได้เป็นหอยเชลล์ตัวอวบๆ มา 8 ตัว หอยเชลล์สด เนื้อเด้ง อบมาหอมเนย หอมกระเทียม ราดน้ำจิ้มซีฟู้ดซักหน่อย อร่อยเด็ดมากๆ,หอยเชลล์อบเนย,pos,,,,
ยอดมะระหวานผัดน้ำมันหอย (65฿) -- จานนี้แอบเสียดายค่ะ เพราะยอดมะระได้ส่วนที่แข็งเยอะไปหน่อย แต่รสชาติผัดผักก็กลมกล่อมกำลังดี,ผัดยอดมะระหวาน,pos,,,,
ข้าวผัดปู (จานเล็ก 90฿) -- ข้าวผัดปูมีปูแทรกเยอะมากๆ คุ้มราคามากมายค่ะ แต่ติดตรงที่ข้าวผัดมาแฉะเกินไปนิดหน่อยและรสหวานนำไปนิดค่ะ,ข้าวผัดปู,neg,,,,
ส้มตำมั่ว (฿70.-) เมนูนี้เป็นของคุณแม่ครับผมไม่ทานเผ็ด ก็เห็นบอกว่าอร่อยดี ถือว่าน่าจะรสชาติใช้ได้เลยแหละครับ,ส้มตำมั่ว,pos,,,,
หอยนางรมสด (฿140.-) ตัวหอยเองก็ดูสดใช้ได้ดีเลยหล่ะครับ แต่ตัวไม่ค่อยอลังมากนัก มีซอสมาให้จิ้มเยอะดีครับ,หอยนางรม,pos,,,,
หอยเชลล์เผาอบเนย (฿140.-) เป็นเมนูปราบเซียนของผมเลย ซึ่งร้านนี้ก็ไม่ได้ว้าวขนาดนั้น หอยเชลล์เผามาแห้งเกินไป เนื้อแตกเลยครับ แบบนี้ไม่โอเคเลย,หอยเชลล์อบเนย,neg,,,,
ข้าวผัดปูใหญ่ (฿180.-) อันนี้รสชาติอร่อยกลมกล่อมอยู่ครับ แต่เปลือกปูเยอะไปหน่อย ทานไปต้องระวังเปลือกปูไป ถ้าแกะดีๆนี่ถือว่าเป็นอีกเมนูที่อร่อยมากเลย,ข้าวผัดปู,pos,,,,
หอยแครงลวก (฿190.-) หอยแครงสีส้มสดใส เสิร์ฟมาพร้อมกับน้ำจิ้ม รสชาติก็ทั่วๆไปครับ วัตถุดิบคุณภาพก็ค่อนข้างดีครับ,หอยแครงลวก,pos,,,,
กุ้งอบวุ้นเส้น (฿260.-) ได้กุ้งตัวใหญ่มาสามตัว กุ้งเนื้อแน่นเด้งมากเลยครับ วุ้นเส้นก็ให้มาเยอะระดับนึง โดยรวมรสชาติก็ใช้ได้เลย เป็นอีกเมนูที่ค่อนข้างถูกใจ,กุ้งอบวุ้นเส้น,pos,,,,
พุดดิ้งมะพร้าวน้ำหอม (฿45.-) ปิดท้ายด้วยของหวาน ถึงหน้าตาจะไม่ได้สวยหรู แต่ก็อร่อยใช้ได้เลยครับ มีรสชาติของมะพร้าวบางๆ ไม่หวานจนเกินไป,พุดดิ้งมะพร้าวน้ำหอม,pos,,,,
น้ำส้มคั้น (฿55.-) จากที่ชมน่าจะเป็นน้ำส้มแท้เลยครับ มีเนื้อส้มมาให้นิดๆหน่อยๆ รสชาติมันหวานไปหน่อย แต่ก็อร่อยถูกปากเลยทีเดียว,น้ำส้มคั้น,pos,,,,
กุ้งอบวุ้นเว้น ถ้ามาร้านนี้ห้ามพลาดเมนูอบวุ้นเส้น ชอบกินกุ้งมากกว่าเพราะไม่ชอบแกะปู กุ้งทะเลตัวใหญ่ กุ้งสดเนื้อแน่นหวาน แกะเปลือกง่าย ปรุงรสมากลมกล่อมกำลังดี แกะเนื้อกุ้งราดน้ำจิ้มซีฟู้ดกินกับวุ้นเส้นเหนียวนุ่ม อร่อย,กุ้งอบวุ้นเส้น,pos,,,,
โป๊ะแตก เมนูโปรดส่วนตัว รสเหมือนต้มยำน้ำใสแต่ใส่พริกแห้งและใบกะเพราเพิ่มลงไป น้ำฅุปจัดจ้านครบรส ใส่เครื่องทะเลเพียบ กุ้งแม่น้ำ ปลาเก๋า หอยแมงภู่ ปลาหมึก สั่งโป๊ะแตกหม้อเดียวได้กินอาหารทะเลครบทุกอย่างเลย,โป๊ะแตก,pos,,,,
กุ้งเผา กุ้งแม่น้ำเผาตัวไม่ใหญ่มาก ราคาไม่แพง สดใช้ได้ กินได้พอให้หายอยากกุ้งเผา,กุ้งเผา,pos,,,,
ข้าวผัดปู จานนี้ก็ทีเด็ด ข้าวผัดปูใส่เนื้อปูเป็นก้อนๆ ผัดใส่เนยหอมๆ บีบมะนาวใส่หน่อย ราดน้ำปลาพริกนิด จบเลย,ข้าวผัดปู,pos,,,,
ข้าวเหนียวมะม่วง เมนูนี้ไม่สั่งไม่ได้ เหมือนมาไม่ถึงอบอร่อย มะม่วงสุกหวานหอมกำลังกินกับข้าวเหนียวมูนนุ่มๆ ข้าวเหนียวมี 2สีให้เลือก แบบธรรมดากับสีเขียวใบเตย สั่งแบบผสมได้ ราคาสูงหน่อยแต่อร่อยจริง มะม่วงหวานตลอดปี แต่ถ้าไม่ใช่หน้ามะม่วงราคาโหดร้ายพอสมควร ให้นิดเดียว,ข้าวเหนียวมะม่วง,pos,,,,
กุ้งอบวุ้นเส้น ปูอบวุ้นเส้น เมนูเด็ด เมนูแนะนำ เป็น signature ของทางร้านก็ว่าได้ ด้วยรสชาติที่กลมกล่อม กุ้ง ปู มาเน้นๆ วุ้นเส้นเหนียวนุ่ม พริกไทยมาเป็นเม็ดๆ แต่ขอเตือนว่ามาถึงอย่าลืมคน เดี๋ยวจะมาบ่นทีหลังว่าจืดเพราะเครื่องอยู่ที่ก้นหม้อนะ!,กุ้งอบวุ้นเส้น,pos,,,,
ผัดผักกระเฉด ผัดยอดมะระ สั่งมา 2 ผัก อร่อยทั้งคู่ ยอดอ่อน ไม่แก่ หน้าตาสวย รสชาติดีค่ะ,ผััดผักกระเฉด,pos,,,,
กุ้งเผา สดจริง เนื้อเด้ง หวานเจี้ยบ น้ำจิ้มซีฟู้ดส์ก็รสชาติดี แซ่บ!!,กุ้งเผา,pos,,,,
ผัดผักกะเฉด อ่อนทุกคำ แต่ให้มาน้อยไปเมื่อเทียบกับราคา,ผัดผักกระเฉด,neg,,,,
กุ้งอบวุ้นเส้น: เฟลกับจานนี้ เพราะแฉะชุ่มน้ำมันมาก แต่กุ้งตัวใหญ่ค่ะ,กุ้งอบวุ้นเส้น,neg,,,,
ข้าวผัดปู : เนื้อปูแน่นๆ ผัดมาแห้งกำลังดี,ข้าวผัดปู,pos,,,,
ปลาหมึกทอดกระเทียม: รสชาติดีเลยค่ะ ไม่อมน้ำมัน,หมึกทอดกระเทียม,pos,,,,
ส้มตำข้าวโพดไข่เค็ม: รสชาติติดหวานไปหน่อย ข้าวโพดมาแบบเป็นแผงเลยค่ะ,ส้มตำข้าวโพดไข่เค็ม,neg,,,,
ส้มตำปูม้า: ปูม้าสด ไม่เหม็นคาว,ส้มตำปูม้า,pos,,,,
ผักยอดมะระน้ำมันหอย: รสชาติ กลมกล่อม อร่อย ผักไม่แข็งค่ะ,ผัดยอดมะระหวาน,pos,,,,
ต้มยำกุ้งน้ำข้น รสชาติเข้มข้นมากๆ เผ็ดกำลังดี มาพร้อมกับกุ้งตัวใหญ่ๆ 3-4 ตัว ชอบมากครับ เมนูนี้ อร่อย,ต้มยำกุ้ง,pos,,,,
กุ้งอบวุ้นเส้น กุ้งตัวใหญ่ๆสามตัว ใส่มาในหม้ออบ ติดแค่วุ้นเส้นยังไม่เข้มข้นสักเท่าไหร่ และด้านล่างก็ใช้เป็นมันหมูล้วนๆ ถ้าเป็นสามชั้นจะยอดเยี่ยมมาก,กุ้งอบวุ้นเส้น,neg,,,,
ส่วนข้าวผัด ผัดผักบุ้ง ปลาทอด รสชาติปกติครับ,"ข้าวผัด, ผัดผักบุ้ง, ปลาทอด",pos,,,,
กุ้งอบวุ้นเส้น ที่เส้นนุ่มมากรสชาติดี กุ้งตัวขนาดกำลังดี มาหลายตัว ถือเป็นเมนูเด็ดที่ชอบมากครับ,กุ้งอบวุ้นเส้น,pos,,,,
หอยเชลล์อบเนย อบได้รสชาติดีมากนุ่มกรุบจริงๆ,หอยเชลล์อบเนย,pos,,,,
กุ้งอบวุ้นเส้น 260.- วุ้นเส้นเหนียวนุ่ม กุ้งตัวใหญ่ 3 ตัว หอมเครื่องเทศ อร่อยดีค่ะ,กุ้งอบวุ้นเส้น,pos,,,,
กุ้งเผา 1 กิโล 800.- มีกุ้งมา 8 ตัว เจอไม่สดไป 2 ตัว เนื้อยุ่ยมาเชียว (ยุ่ยแบบเนื้อติดเปลือก) 2 ใน 8 ก็ถือว่าเยอะอยู่นะ,กุ้งเผา,neg,,,,
ปูม้านึ่งจานใหญ่ 750.- ปูสดดี แกะเนื้อมาให้พร้อมกิน ดีงามค่ะ,ปูม้านึ่ง,pos,,,,
ปลาหมึกทอดกระเทียม รสชาติโอเค แต่อมน้ำมันอีกแล้ว,ปลาหมึกทอดกระเทียม,neg,,,,
ข้าวเหนียวมะม่วง 140.- ตอนสั่งข้าวเหนียวสีเขียวหมด อดกินเลย จานนี้ถือว่าเด็ดจริงๆ ข้าวเหนียวมูนน้ำกะทิ มันหอมหวานอร่อย มะม่วงรสชาติกำลังดี,ข้าวเหนียวมะม่วง,pos,,,,
ปลากระพงทอดน้ำปลายำมะม่วง (220)ทอดมาได้กำลังดี กรอบนอกนุ่มใน ยำมะม่วงอร่อยดีค่ะ,ปลากระพงทอดน้ำปลายำมะม่วง,pos,,,,
ยอดมะระผัด (80) ก้านใหญ่อ่อนไม่เหนียว แต่ถ้ามาคราวหน้าว่าจะลองกะเฉดไฟแดงแทน ดูน่ากินเหมือนกัน,ยอดมะระผัด,pos,,,,
ปูอบวุ้นเส้น (280) ถ้ามาร้านนี้แล้วไม่สั่งกุ้งหรือปูอบวุ้นเส้น ก็เหมือนไม่ได้มารู้จักรสชาติ original ของร้านใช่มะ จานนี้ประทับใจมากกกค่ะ วุ้นเส้นอร่อย น้ำซึมเข้าเนื้อพอดีมากๆ ปูก็คลุกน้ำซอสมาได้รสชาติกำลังดี ได้ปูมา 1 ตัว เนื้อสดอร่อยดี ไม่แปลกใจที่ร้านนี้จะมีจุดเริ่มต้นจากจานนี้ อร่อยจริงๆ,ปูอบวุ้นเส้น,pos,,,,
สุดท้าย ข้าวเหนียวมะม่วง (70) สั่งมาจานเล็กด้วยความอิ่มแต่ก็ยังกินกันเกลี้ยง อร่อยค่ะ ข้าวเหนียวหอมๆอุ่นๆ โรยถั่วทอดกะทิมาอย่างอร่อยเลย มะม่วงหวานฉ่ำ แต่น้อยไปหน่อยนะจานนี้,ข้าวเหนียวมะม่วง,pos,,,,
"วันนี้ได้มีโอกาสมาทานหลายเมนู ตั้งแต่"" ปลากะพงเผา"" เบาๆ สุกกำลังดี รสชาติไม่คาวทานกับน้ำจิ้มทะเลเด็ดเผ็ดอร่อย ""กุ้งเผา"" อีกเมนูถูกใจสดอร่อย ขนาดกลางๆ กำลังทานเลย","ปลากะพงเผา, กุ้งเผา",pos,,,,
"""ต้มยำโป๊ะแตก"" มาแซ่บๆ จัดเต็มหม้อกับ กุ้ง ปลาหมึกปลาและหอย ปิดท้ายด้วย ""ปูอบวุ้นเส้น"" ชอบในรสชาติของวุ้นเส้นร้านนี้เป็นอย่างมากกลมกล่อมเส้นนุ่มดี ทางร้านเจ้าหน้าที่ก็บริการรวดเร็วมีทั้งห้องแอร์และด้านนอก","ต้มยำโป๊ะแตก, ปูอบวุ้นเส้น",pos,,,,
จานแรกหอยเชล์ลอบเนย จานนี้เย็นไปนิด เหมือนทำไว้แล้วตักใส่จานคะ แต่หอยก้อสดดีนะคะ,หอยเชล์ลอบเนย,neg,,,,
จานที่สอง กุ้งอบวุ้นเส้น ได้ยินชื่อเสียงมานานแล้ว ว่าร้านนี้เค้าอร่อย ไม่ผิดหวังคะ มาแล้วต้องสั่งนะคะ เส้นภายนอกอาจจะดูสีจืดๆ แต่พอทานแล้วรสชาติเค้าคลุกเคล้าได้กลมกล่อมดีคะ ก้อเลยสั่ง ปูอบวุ้นเส้นมาเบิ้ลอีกจาน ก้ออร่อยไม่แพ้กุ้งอบวุ้นเส้นเลยคะ,"กุ้งอบวุ้นเส้น, ปูอบวุ้นเส้น",pos,,,,
ปลาหมึกผัดพริกเผา จานนี้ก้อเป็นอีกจานที่อร่อยคะ ปลาหมึกสด เอามาผัดพริกเผา รสชาติจัดจานดีคะ ทานกับข้าวผัดปู อร่อยกำลังดีเลยคะ,"ปลาหมึกผัดพริกเผา, ข้าวผัดปู",pos,,,,
ผัดผักกระเฉด ผักอ่อนดีคะ อร่อยคะ แต่ให้น้อยมากกกก ไม่สมราคาคะ,ผัดผักกระเฉด,neg,,,,
เมนูสุดท้าย ของหวานตบท้าย คือ ข้าวเหนียวมะม่วง อร่อยมั๊กมากๆๆคะ มะม่วงหวานนน ข้าวเหนียวนุ่มๆหอมๆ ถึงกับต้องสั่งเบิ้ลเลยคะ แบบว่าติดใจคะ มาแล้วต้องสั่งนะคะ ถ้าค่ำๆอาจจะหมดก่อนด้วยนะคะ พนักงานบอกคะ,ข้าวเหนียวมะม่วง,pos,,,,
กุ้งอบวุ้นเส้น260.- กุ้งอบวุ้นเส้นร้านนี้ปรุงรสมากลมกล่อมจริงๆ รสชาติถูกใจมากๆๆ ไม่ใส่ซีอิ้วดำเยอะๆมาให้รำคาญใจ แค่ปรุงใส่น้ำมันงา ซีอิ้วดำนิดหน่อยก็อร่อยแล้ว กุ้งใส่มา4ตัว ขนาดกุ้งค่อนข้างใหญ่ เนื้อแน่น แนะนำจริงๆคะสำหรับอาหารจานนี้,กุ้งอบวุ้นเส้น,pos,,,,
"ปูอบวุ้นเส้น 380.- อร่อยกับกุ้งอบวุ้นเส้น และยังคงอยากทานอีก เลยสั่งเป็นปู ปูทะเล ราคาเริ่มต้นในเมนู350.- แต่วันนี้ขาย380,450และ5xxกว่า เราเลือกขนาดเล็กสุด เพราะแค่อยากลองชิมดู ปูสดๆๆมาก รสชาติวุ้นเส้นก็อร่อยเป๊ะเหมือนเดิม Tip: สามารถเพิ่มวุ้นเส้น+20บาท อร่อยสุดคุ้ม (ขอบคุณuser:Aomamm สำหรับคำแนะนำ)",ปูอบวุ้นเส้น,pos,,,,
ข้าวผัดปู 80.- ข้าวผัดร้านนี้มี3ขนาด สั่งจานเล็กมาทานแบ่งๆกันกำลังงาม ชอบที่ข้าวผัดผัดมาร่วนๆดี ชิ้นปูก็ใหญ่น่าทานและมีปริมาณเยอะเพียงพอกับแบ่งกันทาน,ข้าวผัดปู,pos,,,,
ต้มยำหัวปลาหม้อไฟ 260.- หัวปลาที่ร้านใช้ปลาเก๋า ถือว่าค่อนข้างดี ปลาสดพอใช้ ให้ปลาค่อนข้างเยอะ น้ำซุปมีทั้งซุปใสและซุปข้น เราเลือกใสๆแบบโป๊ะแตก รสชาติเผ็ด/เปรี้ยว จี๊ดจ๊าด ถูกใจมาก อีกอย่างที่ชอบคือเห็ดฝาง ที่ใส่มาปริมาณค่อนข้างเยอะคะ,ต้มยำหัวปลาหม้อไฟ,pos,,,,
ปูม้านึ่ง 325.- ปูม้านึ่ง1ตัว แบ่งส่วนปู และทุบก้ามมาให้เพื่อความง่ายในการทาน ไข่ปูในกระดองน่าทานมาก ถือว่าใช้ได้ในหน้าตา แต่รสชาติเนื้อปูค่อนข้างจืด ไม่หวานสด แม้เนื้อปูจะสดก็ตาม ถ้าไม่คิดมากก็ถือว่าราคาพอรับได้ กับจำนวนปู1ตัว,ปูม้านึ่ง,pos,,,,
ข้าวเหนียวมะม่วง 140.- แม้จะอิ่มกันมากมายนัก แต่ก็ยังขอมีพื้นที่เล็กๆในท้องเพื่อใส่ของหวาน โดยข้าวเหนียวมีทั้งข้าวเหนียวขาวและข้าวเหนียวสีเขียว(ใบเตย) ข้าวเหนียวนุ่ม อร่อยถูกใจเชียว มีขอน้ำกะทิไว้ราดเพิ่มด้วย ส่วนมะม่วงก็ปลอกกันสดๆ วันนี้เป็นน้ำดอกไม้นะ 1ลูก หั่นเป็นชิ้นๆๆให้พอดีทาน ไม่แปลกใจเลยว่าเมนูนี้ หากไม่ได้ทานถือว่ามาไม่ถึงร้านอบอร่อย^^,ข้าวเหนียวมะม่วง,pos,,,,
"ปูอบวุ้นเส้น (M =300, L=500) (5*) หากชอบทานปูแนะนำให้สั่ง L เลยค่ะ จานนี้อร่อยค่ะปูดูออกมาโอเคเป็นตัวๆที่มีขนาดโอเคกว่าราคาที่ตั้งไว้ คุณภาพปูโอเคนะค่ะ ชอบรสชาติของจานนี้ด้วย วุ้นเส้นก็นิ่มมาก ทานเพลินให้มาอีกก็สั่งอีก ไม่ผิดหวัง",ปูอบวุ้นเส้น,pos,,,,
กุ้งอบวุ้นเส้น (200+) จำราคาไม่ได้แม่นๆแต่ว่า กุ้งเขาก็ตัวขนาดโอเคนะค่ะดูสมราคา เนื่องจากชอบรสชาติอบหม้อดิน ก็จะเหมือนกับปูอะค่ะ อร่อยดี,กุ้งอบวุ้นเส้น,pos,,,,
ผักกระเฉดไฟแดง (80) ผัดสดกรอบดีค่ะ ผัดออกมาได้เขียวน่าทาน รสชาติเผ็ดร้อนเข้มข้น จานนี้ก็ทานเพลินค่ะ,ผักกระเฉดไฟแดง,pos,,,,
ข้าวผัดปู จานใหญ่ 160B ผัดมาข้าวเป็นเม็ดๆ ผัดมาไม่แฉะ ปูเขาก็มาประมาณนึง ไม่ได้เป็นก้อนๆ แต่รสชาติดีค่ะ แค่บีบมะนาวเพิ่มนิดนึงก็อร่อยแล้ว,ข้าวผัดปู,pos,,,,
ปลาเก๋าผัดคึ่นฉ่าย 240B เมนูโปรดของเรา แต่เราว่าครั้งนี้เขาผัดมาอ่อนไปหน่อย ต้องแอบเอาน้ำจิ้มซีฟู้ดใส่ไปหน่อย ปลาสดดีค่ะ ผัดมากับ ต้มหอม หอมใหญ่,ปลาเก๋าผัดคึ่นฉ่าย,pos,,,,
หอยแมลงภู่อบ 85B เหมือนครั้งนี้ น้อยลงนิดๆ แต่ถ้าเทียบกับราคาเราก็โอเคอยู่ค่ะ หอยเขาตัวกลางๆ เราชอบประมาณนี้มากกว่าตัวใหญ่ๆ,หอยแมลงภู่อบ,pos,,,,
ปลาหมึกทอดกระเทียม 160B ชอบเมนูเขาตลอด ปลาหมึกเขาตัวใหญ่ชิ้นใหญ่ๆ กินจนเมื่อยกราม เสริฟมากับซอสพริก เราชอบเมนูนี้เขา เขาทอดมาแห้งๆดี,ปลาหมึกทอดกระเทียม,pos,,,,
กุ้งอบวุ้นเส้น 260B มาแล้วไม่สั่งเมนูนี้ได้ไง กุ้งตัวใหญ่ ได้มา 3 ตัวใหญ่ วุ้นเส้นหน้อยไปหน่อย กินนิดๆ วุ้นเส้นหมดแล้ว น่าจะมีพิเศษเพิ่มวุ้นเส้น,กุ้งอบวุ้นเส้น,neg,,,,
เริ่มด้วย กุ้งเผา ครึ่งโล ราคา 400 บาท เสริฟมา 4 ตัว ตัวไม่ใหญ่มาก กลิ่นหอมยวนใจมากคะ แกะสิรอไร อิอิ ไม่รีรอ ขอบอกว่าสด เนื้อหวานจริงๆ ทานคู่กับน้ำจิ้มซีฟู้ดที่ทางร้านจัดไว้รสเด็ด,กุ้งเผา,pos,,,,
หอยแครงลวก ราคา 95 บาท เสริฟมาไม่เยอะมาก ใส่่จานธรรมดา หอยลวกกำลังพอดีไม่สุกและไม่เลือดเกิน ไม่มีกลิ่นเหม็นคาว,หอยแครงลวก,pos,,,,
ปลาหมึกนึ่งมะนาว ราคา 160 บาท เสริฟมาเป็นหม้อไฟปลาหมึกตัวใหญ่ๆ แต่หั่นมาแบบว่าชิ้นหนา และตัดไม่ขาด แต่วันนี้เสียดายคะ ไม่ใช่ปลาหมึกไข่ มีแต่ตัวปลาหมึกล้วนๆ วันนี้แอบผิดหวังกับเมนูนี้นิดนึง เพราะว่ารสชาติออกไปทางเค็ม ปกติจะรสชาติเปรี้ยวเผ็ด,ปลาหมึกนึ่งมะนาว,neg,,,,
ปลากระพงทอดน้ำปลา ราคา 290 บาท โอ้โหว เสริฟมาตัวใหญ่ เว่อวัง ทอดมาสีเหลืองนวลน่ากินจริง ๆ ด้านนอกทอดมาได้ดีเลย กรอบ อร่อย ทานคู่กับน้ำจิ้มยำมะม่วงที่ทางร้านเสริฟมาคู่กัน จัดว่าสุดยอด,ปลากระพงทอดน้ำปลา,pos,,,,
ปูอบวุ้นเส้น ราคา 380 บาท เพิ่มวุ้นเส้น 20 บาท นี่เป็นอีกเมนูที่ฟินสำหรับร้านนี้เลยก็ว่าได้ เพราะว่าเส้นวุ้นเส้น ทำออกมาได้ดี นิ่มอร่อย เมื่อคลุกเคล้ารสชาติเข้ากันเป็นอย่างดี,ปูอบวุ้นเส้น,pos,,,,
กุ้งอบวุ้นเส้น ราคา 220 บาท เพิ่มวุ้นเส้น 20 บาท อีกเมนูนึงที่โอเคพอกับปูอบวุ้นเส้น แต่ต่างกันที่ความหอมเท่านั้นเองคะ,กุ้งอบวุ้นเส้น,pos,,,,
ต้มยำปลาเก๋า ราคา260 บาท เสริฟมาเป็นแบบหม้อไฟ ร้อนๆ เลย ให้มาล้นหม้อเลยคะ รสชาติแซ่บเว่อ เปรี้ยวนำ แต่จัดจ้าน อร่อยมากคะเมนูนี้ ยอมเลย ซดเข้าไปนี่บอกเลยว่าหยุดไม่อยู่ ปลาชิ้นใหญ่และสด,ต้มยำปลาเก๋า,pos,,,,
ปูเนื้อผัดพริกไทยดำ​ ขนาด​ 450 บาท​ ได้ปูขนาดกลางๆ​ สด​ เนื้อแน่น​ ทุบและแกะมาให้อย่างดี​ ทานไม่ลำบากจนเกินไป​ รสเข้มข้นทานกับคินัวกำลังดีเลยค่ะ​ ติดที่.. ผัดมาน้ำเยอะไปดูยังกับซุป​ ถ้าผัดมาแห้งๆ​ เหมือน​ Black Pepper Crab ที่สิงคโปร์​ก็จะเยี่ยมมากกว่านี้​ รสชาติ​ถูกใจค่ะ​ ถ้าฃอสไม่เจิ่งนองจะดีกว่านี้,ปูเนื้อผัดพริกไทยดำ,pos,,,,
